Search Bias Report - Wed Aug 14 2024

Search Query: Donald Trump
Campaign Website: 

Position,Google,Bing,Duck Duck Go,Tusk
43,"=HYPERLINK(""https://www.lemonde.fr/en/opinion/article/2024/08/14/donald-trump-s-campaign-is-stalling_6715114_23.html"",""Donald Trump's campaign is stalling"")","=HYPERLINK(""https://www.cnn.com/politics/live-news/donald-trump-court-charges-04-05-23/index.html"",""April 5, 2023 The latest on Trump’s historic indictment"")","=HYPERLINK(""https://www.nytimes.com/live/2023/05/09/nyregion/trump-carroll-rape-trial-verdict"",""Trump Rape Lawsuit: Jury Finds Trump Liable for Sexual Abuse and ..."")","=HYPERLINK(""https://www.youtube.com/watch?v=9rrhaqq5KJI"",""EEUU | Así le dispararon a DONALD TRUMP ..."")"
44,"=HYPERLINK(""https://www.whitehouse.gov/"",""The White House"")","=HYPERLINK(""https://www.facebook.com/DonaldTrump/"",""Donald J. Trump - Facebook"")","=HYPERLINK(""https://mobile.twitter.com/realDonaldTrump?ref_url=about%3Asrcdoc"",""Donald Trump (@RealDonaldTrump) | Twitter"")","=HYPERLINK(""https://apnews.com/article/trump-harris-news-conference-florida-election-2024-94b590ddf0434d9ea7b1241396dbbcc6"",""Trump recommits to a Sept. 10 debate and lashes out at Harris at news conference"")"
45,"=HYPERLINK(""https://oversight.house.gov/release/comer-seeks-information-from-google-and-meta-on-potential-censorship-of-president-trump-assassination-attempt/"",""Comer Seeks Information from Google and Meta on Potential ..."")","=HYPERLINK(""https://www.history.com/topics/us-presidents/donald-trump"",""Donald Trump: Presidency, Family, Education | HISTORY"")","=HYPERLINK(""https://www.cnn.com/politics/live-news/trump-investigations-latest-08-10-23/index.html"",""August 10, 2023 -The latest on the Trump-related investigations - CNN"")","=HYPERLINK(""https://www.cnn.com/politics/live-news/election-biden-trump-07-13-24/index.html"",""July 13, 2024, coverage of the Trump assassination attempt | CNN Politics"")"
46,"=HYPERLINK(""https://twitter.com/potus"",""potus - President Biden"")","=HYPERLINK(""https://www.cnn.com/politics/live-news/trump-indictment-documents-06-12-23/index.html"",""June 12, 2023, news on Donald Trump’s federal indictment - CNN"")","=HYPERLINK(""https://www.nbcnews.com/politics/donald-trump/live-blog/live-updates-manhattan-grand-jury-indicted-donald-trump-rcna75172"",""Highlights and analysis: Donald Trump indicted in hush money probe"")","=HYPERLINK(""https://www.nbcnews.com/politics/2024-election/live-blog/harris-trump-presidential-election-live-updates-rcna164955"",""Election 2024: Trump and Harris say they've agreed to Sept. 10 debate"")"
47,"=HYPERLINK(""https://www.forbes.com/profile/donald-trump/"",""Donald Trump"")","=HYPERLINK(""https://www.cnn.com/politics/live-news/trump-legal-developments-03-23-23/index.html"",""Live updates: Donald Trump’s latest legal news | CNN Politics"")","=HYPERLINK(""https://www.nytimes.com/article/donald-trump-trial-what-to-know.html"",""What to Know About the Trial Donald Trump Faces in Manhattan"")","=HYPERLINK(""https://www.npr.org/2024/07/27/nx-s1-5054272/trump-christian-wont-vote-anymore-speech"",""Trump tells Christian voters they 'won't have to vote anymore' if he's elected : NPR"")"
48,"=HYPERLINK(""https://www.bbc.com/news/topics/cp7r8vgl2lgt"",""Donald Trump - BBC News"")","=HYPERLINK(""https://www.nbcnews.com/politics/donald-trump/trump-indicted-jan-6-grand-jury-2020-election-rcna95199"",""Special counsel charges Trump with conspiracy to defraud the U.S."")","=HYPERLINK(""https://www.pbs.org/newshour/politics/read-full-the-indictment-against-trump-for-his-efforts-to-overturn-the-2020-election"",""Read the full indictment against Trump for his alleged efforts to ..."")","=HYPERLINK(""https://apnews.com/article/trump-vp-vance-rubio-7c7ba6b99b5f38d2d840ed95b2fdc3e5"",""Trump injured but 'fine' after attempted assassination at rally, shooter and one attendee are dead"")"
49,"=HYPERLINK(""https://uaw.org/uaw-files-federal-labor-charges-against-donald-trump-and-elon-musk-for-attempting-to-intimidate-and-threaten-workers/"",""UAW Files Federal Labor Charges Against Donald Trump and Elon ..."")","=HYPERLINK(""https://www.nbcnews.com/politics/donald-trump/live-blog/trump-indictment-live-updates-former-presidents-arraignment-expected-t-rcna77705"",""Trump arraigned, arrested on 34 felony counts in hush money case ..."")","=HYPERLINK(""https://edition.cnn.com/politics/live-news/trump-investigations-latest-08-10-23/index.html"",""Live updates: Trump probes into election interference and Mar-a-Lago ..."")","=HYPERLINK(""https://www.cnn.com/2024/07/26/politics/trump-netanyahu-meeting-mar-a-lago/index.html"",""Trump meeting with Netanyahu for first time since departing White House | CNN Politics"")"
50,"=HYPERLINK(""https://www.whitehouse.gov/about-the-white-house/presidents/donald-j-trump/"",""Donald J. Trump"")","=HYPERLINK(""https://www.nytimes.com/live/2023/06/13/us/trump-indictment-arraignment-court"",""Trump Arraignment Trump Pleads Not Guilty in Documents Case"")","=HYPERLINK(""https://www.theguardian.com/us-news/donaldtrump"",""News, sport and opinion from the Guardian's US edition | The Guardian"")","=HYPERLINK(""https://www.nytimes.com/live/2024/07/13/us/biden-trump-election"",""Trump Rallies in Pennsylvania as Biden Tries to Steady His Campaign: Live Election News - The New York Times"")"
51,"=HYPERLINK(""https://news.sky.com/topic/donald-trump-5711"",""Donald Trump - The Latest News from the UK and Around the World"")","=HYPERLINK(""https://www.npr.org/live-updates/trump-grand-jury-indictment-jan-6"",""Donald Trump indicted on four counts in 2020 election probe: live ..."")","=HYPERLINK(""https://www.nbcnews.com/politics/donald-trump/live-blog/trump-indictment-live-updates-former-presidents-arraignment-expected-t-rcna77705"",""Trump arraigned, arrested on 34 felony counts in hush money case ..."")","=HYPERLINK(""https://www.youtube.com/watch?v=9eZrSTQCZoc"",""WATCH LIVE: Donald Trump speaks at campaign event in Montana - YouTube"")"
52,"=HYPERLINK(""https://www.haaretz.com/ty-tag/donald-trump-0000017f-da36-d249-ab7f-fbf637a30000"",""Donald Trump"")","=HYPERLINK(""https://www.cnn.com/politics/president-donald-trump-45"",""Donald J. Trump | CNN Politics"")","=HYPERLINK(""https://www.instagram.com/realdonaldtrump/"",""President Donald J. Trump (@realdonaldtrump) - Instagram"")","=HYPERLINK(""https://apnews.com/article/trump-republican-national-convention-nomination-assassination-attempt-5f1f337ac39477e9d1c53d3e027edda3"",""Trump urges unity after assassination attempt while proposing sweeping populist agenda in RNC finale"")"
53,"=HYPERLINK(""https://www.wunc.org/politics/2024-08-14/donald-trump-north-carolina-economic-message-asheville"",""Donald Trump is visiting North Carolina for an economic speech ..."")","=HYPERLINK(""https://www.britannica.com/biography/Donald-Trump"",""Donald Trump | Biography, Education, Business Career, Political Career ..."")","=HYPERLINK(""https://www.cnn.com/politics/live-news/trump-civil-fraud-trial-decision-02-16-24/index.html"",""Live updates: Trump ordered to pay nearly $355 million in civil fraud ..."")","=HYPERLINK(""https://truthsocial.com/@realDonaldTrump"",""Donald J. Trump (@realDonaldTrump)"")"
54,"=HYPERLINK(""https://www.thedailybeast.com/michael-ian-black-donald-trump-a-comedian-dont-make-me-laugh"",""Michael Ian Black: Donald Trump, a Comedian? Don't Make Me Laugh"")","=HYPERLINK(""https://hu.m.wikipedia.org/wiki/Donald_Trump"",""Donald Trump – Wikipédia"")","=HYPERLINK(""https://www.cnn.com/2024/05/30/politics/donald-trump-hush-money-trial-verdict/index.html"",""Trump found guilty in hush money trial | CNN Politics"")","=HYPERLINK(""https://www.trump.com/"",""The Trump Organization | Luxury Real Estate Portfolio"")"
55,"=HYPERLINK(""https://www.seattletimes.com/nation-world/nation/judge-rejects-donald-trumps-latest-demand-to-step-aside-from-hush-money-criminal-case/"",""Judge rejects Donald Trump's latest demand to step aside from hush ..."")","=HYPERLINK(""https://vi.m.wikipedia.org/wiki/Donald_Trump"",""Donald Trump – Wikipedia tiếng Việt"")","=HYPERLINK(""https://www.cnn.com/2023/08/09/politics/special-counsel-trump-twitter-search-warrant/index.html"",""Special counsel obtained search warrant for Donald Trump's Twitter ..."")","=HYPERLINK(""https://www.dailymail.co.uk/news/article-13684075/donald-trump-nephew-fred-book-allegations-disabled-son.html"",""Donald Trump told me my disabled son 'should just die': Former president's nephew launches tell-all memoir slamming his 'evil' family | Daily Mail Online"")"
56,"=HYPERLINK(""https://www.reuters.com/legal/trump-loses-third-bid-judge-step-aside-hush-money-case-2024-08-14/"",""Trump loses third bid for judge to step aside in hush money case"")","=HYPERLINK(""https://www.cnn.com/politics/live-news/trump-new-york-court-arraignment-04-04-23/index.html"",""April 4, 2023 Trump indictment news | CNN Politics"")","=HYPERLINK(""https://www.nytimes.com/live/2024/05/31/nyregion/trump-news-guilty-verdict"",""Trump Spews False Claims and Fury in Wake of Conviction"")","=HYPERLINK(""https://apnews.com/article/trump-republican-national-convention-nomination-assassination-attempt-5f1f337ac39477e9d1c53d3e027edda3"",""Trump urges unity after assassination attempt while proposing sweeping populist agenda in RNC finale"")"
57,"=HYPERLINK(""https://www.propublica.org/article/national-debt-trump"",""Donald Trump Built a National Debt So Big (Even Before the Pandemic ..."")","=HYPERLINK(""https://www.cnn.com/politics/live-news/donald-trump-court-charges-04-05-23/index.html"",""April 5, 2023 The latest on Trump’s historic indictment"")","=HYPERLINK(""https://www.nytimes.com/interactive/2020/us/elections/donald-trump.html"",""Donald Trump: Who He Is and What He Stands For"")","=HYPERLINK(""https://www.trump.com/"",""The Trump Organization | Luxury Real Estate Portfolio"")"
58,"=HYPERLINK(""https://www.britannica.com/biography/Donald-Trump"",""Donald Trump | Biography, Education, Business Career, Political ..."")","=HYPERLINK(""https://www.facebook.com/DonaldTrump/"",""Donald J. Trump - Facebook"")","=HYPERLINK(""https://edition.cnn.com/politics/live-news/trump-civil-fraud-trial-11-06-23/index.html"",""Donald Trump testifies in New York civil fraud trial | CNN Politics"")","=HYPERLINK(""https://www.dailymail.co.uk/news/article-13684075/donald-trump-nephew-fred-book-allegations-disabled-son.html"",""Donald Trump told me my disabled son 'should just die': Former president's nephew launches tell-all memoir slamming his 'evil' family | Daily Mail Online"")"
59,"=HYPERLINK(""https://www.france24.com/en/tag/donald-trump/"",""Donald Trump: news, videos, reports and analysis"")","=HYPERLINK(""https://www.history.com/topics/us-presidents/donald-trump"",""Donald Trump: Presidency, Family, Education | HISTORY"")","=HYPERLINK(""https://www.cnn.com/interactive/2023/07/politics/trump-indictments-criminal-cases/"",""Tracking Donald Trump's indictments - CNN"")","=HYPERLINK(""https://www.youtube.com/watch?v=4NTRVTvp_d8"",""DIRECTO: DISPARAN A DONALD TRUMP EN UN MITIN ..."")"
60,"=HYPERLINK(""https://people.com/tag/donald-trump/"",""Donald Trump, 45th U.S. President and Businessman"")","=HYPERLINK(""https://www.cnn.com/politics/live-news/trump-indictment-documents-06-12-23/index.html"",""June 12, 2023, news on Donald Trump’s federal indictment - CNN"")","=HYPERLINK(""https://www.nbcnews.com/politics/donald-trump/donald-trump-verdict-hush-money-trial-rcna152492"",""Donald Trump found guilty in historic New York hush money case"")","=HYPERLINK(""https://www.nytimes.com/live/2023/08/01/us/trump-indictment-jan-6"",""Trump Indictment: Jan. 6 Riot Was ‘Fueled by Lies’ From Trump, Special Counsel Says - The New York Times"")"
61,"=HYPERLINK(""https://www.huffpost.com/entry/donald-trump-north-carolina-economic-speech_n_66bcc104e4b03da4fc01ac7d"",""Donald Trump Is Going To North Carolina For An Economic Speech ..."")","=HYPERLINK(""https://www.cnn.com/politics/live-news/trump-legal-developments-03-23-23/index.html"",""Live updates: Donald Trump’s latest legal news | CNN Politics"")","=HYPERLINK(""https://edition.cnn.com/2024/05/30/politics/what-it-was-like-inside-the-courtroom-as-donald-trump-was-found-guilty-of-34-felonies/index.html"",""What it was like inside the courtroom when Donald Trump was found ..."")","=HYPERLINK(""https://www.nbcnews.com/politics/2024-election/live-blog/election-2024-live-updates-rcna162976"",""Harris makes first visit to campaign HQ; Vance holds rallies in Ohio and Virginia"")"
62,"=HYPERLINK(""https://www.instagram.com/donaldjtrumpjr/?hl=en"",""Donald Trump Jr. (@donaldjtrumpjr)"")","=HYPERLINK(""https://www.nbcnews.com/politics/donald-trump/trump-indicted-jan-6-grand-jury-2020-election-rcna95199"",""Special counsel charges Trump with conspiracy to defraud the U.S."")","=HYPERLINK(""https://www.wsj.com/topics/person/donald-trump"",""Donald Trump - WSJ Spotlight Coverage, Recent News"")","=HYPERLINK(""https://timesofindia.indiatimes.com/world/us/us-and-world/u-s-presidential-polls-2024-kamala-harris-donald-trump-and-4-other-candidates-in-the-race/articleshow/112530469.cms"",""U.S. Presidential polls 2024: Kamala Harris, Donald trump, and 4 other candidates in the race | World News - Times of India"")"
63,"=HYPERLINK(""https://www.congress.gov/116/bills/hres755/BILLS-116hres755enr.pdf"",""Articles of Impeachment Against Donald John Trump"")","=HYPERLINK(""https://www.nbcnews.com/politics/donald-trump/live-blog/trump-indictment-live-updates-former-presidents-arraignment-expected-t-rcna77705"",""Trump arraigned, arrested on 34 felony counts in hush money case ..."")","=HYPERLINK(""https://www.cnn.com/2024/04/23/politics/takeaways-from-day-6-of-the-donald-trump-criminal-hush-money-trial/index.html"",""Takeaways from Day 6 of the Donald Trump criminal hush money trial - CNN"")","=HYPERLINK(""https://www.youtube.com/watch?v=IwApy5Lc8k4"",""‘Epic Meltdown’: Donald Trump has disastrous interview in ..."")"
64,"=HYPERLINK(""https://www.pbs.org/newshour/tag/donald-trump"",""Donald Trump news"")","=HYPERLINK(""https://www.nytimes.com/live/2023/06/13/us/trump-indictment-arraignment-court"",""Trump Arraignment Trump Pleads Not Guilty in Documents Case"")","=HYPERLINK(""https://edition.cnn.com/politics/live-news/donald-trump-indictment-court-appearance-06-13-23/index.html"",""June 13, 2023 Trump pleads not guilty in historic federal indictment"")","=HYPERLINK(""https://www.nytimes.com/2024/07/13/opinion/trump-2024-second-term.html"",""Opinion | A Second Term for Trump Could Go 4 Different Ways - The New York Times"")"
65,"=HYPERLINK(""https://www.vanityfair.com/news/story/donald-trump-elon-musk-interview"",""Donald Trump Has Jumped The Shark"")","=HYPERLINK(""https://www.npr.org/live-updates/trump-grand-jury-indictment-jan-6"",""Donald Trump indicted on four counts in 2020 election probe: live ..."")","=HYPERLINK(""https://www.huffpost.com/news/topic/donald-trump"",""HuffPost - Breaking News, U.S. and World News | HuffPost"")","=HYPERLINK(""https://www.citizen-times.com/story/news/local/2024/08/14/trump-asheville-rally-republican-live-coverage/74787771007/"",""Donald Trump rally in Asheville: Live updates from North Carolina campaign stop"")"
66,"=HYPERLINK(""https://ww2.nycourts.gov/people-v-donald-j-trump-criminal-37026"",""People v Donald J. Trump (Criminal) | NYCOURTS.GOV"")","=HYPERLINK(""https://www.cnn.com/politics/president-donald-trump-45"",""Donald J. Trump | CNN Politics"")","=HYPERLINK(""https://www.nytimes.com/live/2023/11/13/nyregion/trump-fraud-trial-news"",""Highlights From Donald Trump Jr.'s Second Round of Testimony in Fraud ..."")","=HYPERLINK(""https://www.msn.com/en-us/news/other/trump-whisked-off-stage-in-pennsylvania-after-loud-noises-rang-through-the-crowd/ar-BB1pW23c"",""Trump whisked off stage in Pennsylvania after loud noises rang throug…"")"
67,"=HYPERLINK(""https://www.manhattanda.org/wp-content/uploads/2023/04/Donald-J.-Trump-Indictment.pdf"",""Donald-J.-Trump-Indictment.pdf"")","=HYPERLINK(""https://www.britannica.com/biography/Donald-Trump"",""Donald Trump | Biography, Education, Business Career, Political Career ..."")","=HYPERLINK(""https://www.nbcnews.com/politics/donald-trump/live-blog/live-updates-trump-classified-documents-florida-grand-jury-rcna88233"",""Trump indictment highlights: Former president faces seven charges in ..."")","=HYPERLINK(""https://www.reuters.com/world/us/elon-musk-interview-trump-x-social-media-network-2024-08-12/"",""Rambling Trump, Musk interview marred by tech issues | Reuters"")"
68,"=HYPERLINK(""https://www.pewresearch.org/politics/2021/01/29/how-america-changed-during-donald-trumps-presidency/"",""How America Changed During Trump’s Presidency"")","=HYPERLINK(""https://hu.m.wikipedia.org/wiki/Donald_Trump"",""Donald Trump – Wikipédia"")","=HYPERLINK(""https://www.nbcnews.com/politics/donald-trump/secret-service-rushes-trump-stage-shots-fired-pennsylvania-rally-rcna161735"",""Trump target of assassination attempt; says he was shot in ear at rally ..."")","=HYPERLINK(""https://www.youtube.com/watch?v=-v-8wJkmwBY"",""- YouTube"")"
69,"=HYPERLINK(""https://www.npr.org/2024/08/11/nx-s1-5070566/trump-news-conference"",""We fact-checked Trump's recent news conference"")","=HYPERLINK(""https://vi.m.wikipedia.org/wiki/Donald_Trump"",""Donald Trump – Wikipedia tiếng Việt"")","=HYPERLINK(""https://www.foxnews.com/category/person/donald-trump"",""Donald Trump | Fox News"")","=HYPERLINK(""https://www.washingtontimes.com/news/2024/jul/29/liberals-love-victims-except-when-victim-is-trump/"",""Liberals love victims, except when victim is Trump - Washington Times"")"
70,"=HYPERLINK(""https://www.politico.com/news/2024/08/13/trump-beautiful-kamala-harris-00173840"",""Trump calls Harris 'a beautiful woman.' He didn't mean it as a ..."")","=HYPERLINK(""https://www.cnn.com/politics/live-news/trump-new-york-court-arraignment-04-04-23/index.html"",""April 4, 2023 Trump indictment news | CNN Politics"")","=HYPERLINK(""https://www.cnn.com/politics/live-news/trump-2020-election-probe-08-01-23/index.html"",""August 1, 2023 Trump indicted in special counsel's 2020 election ..."")","=HYPERLINK(""https://www.msn.com/en-us/music/news/cardi-b-worries-about-donald-trump-dictatorship-after-ex-prez-promises-followers-you-won-t-have-to-vote-anymore/ar-BB1qP2Oz"",""Cardi B Worries About Donald Trump ‘Dictatorship' After Ex-Prez Promis…"")"
71,"=HYPERLINK(""https://news.gallup.com/poll/203198/presidential-approval-ratings-donald-trump.aspx"",""Presidential Approval Ratings -- Donald Trump"")","=HYPERLINK(""https://www.cnn.com/politics/live-news/donald-trump-court-charges-04-05-23/index.html"",""April 5, 2023 The latest on Trump’s historic indictment"")","=HYPERLINK(""https://www.nbcnews.com/politics/donald-trump/live-blog/trump-indictment-live-updates-arraignment-rcna88868"",""Trump pleads not guilty to federal charges after arrest"")","=HYPERLINK(""https://apnews.com/article/trump-republican-national-convention-nomination-assassination-attempt-5f1f337ac39477e9d1c53d3e027edda3"",""Trump urges unity after assassination attempt while proposing sweeping populist agenda in RNC finale"")"
72,"=HYPERLINK(""https://www.cbsnews.com/tag/donald-trump/"",""Coverage of Donald J. Trump"")","=HYPERLINK(""https://www.facebook.com/DonaldTrump/"",""Donald J. Trump - Facebook"")","=HYPERLINK(""https://www.britannica.com/facts/Donald-Trump"",""Donald Trump Facts | Britannica"")","=HYPERLINK(""https://www.trump.com/"",""The Trump Organization | Luxury Real Estate Portfolio"")"
73,"=HYPERLINK(""https://www.columbian.com/news/2024/aug/14/judge-rejects-donald-trumps-latest-demand-to-step-aside-from-hush-money-criminal-case/"",""Judge rejects Donald Trump's latest demand to step aside from hush ..."")","=HYPERLINK(""https://www.history.com/topics/us-presidents/donald-trump"",""Donald Trump: Presidency, Family, Education | HISTORY"")","=HYPERLINK(""https://www.nbcnews.com/politics/donald-trump/trump-indictment-released-rcna88592"",""Federal indictment accuses Trump of lying and scheming to keep ..."")","=HYPERLINK(""https://www.dailymail.co.uk/news/article-13684075/donald-trump-nephew-fred-book-allegations-disabled-son.html"",""Donald Trump told me my disabled son 'should just die': Former president's nephew launches tell-all memoir slamming his 'evil' family | Daily Mail Online"")"
74,"=HYPERLINK(""https://www.psychologytoday.com/us/basics/president-donald-trump"",""President Donald Trump"")","=HYPERLINK(""https://www.cnn.com/politics/live-news/trump-indictment-documents-06-12-23/index.html"",""June 12, 2023, news on Donald Trump’s federal indictment - CNN"")","=HYPERLINK(""https://www.bbc.com/news/live/world-us-canada-67314495?pinned_post_locator=urn:asset:8331d231-75d8-42dc-bfeb-a24c2368a05d&pinned_post_asset_id=6548d6282ea49e2bc0099df7&pinned_post_type=share"",""Donald Trump fraud trial live updates: Former president tests ... - BBC"")","=HYPERLINK(""https://www.youtube.com/watch?v=4NTRVTvp_d8"",""DIRECTO: DISPARAN A DONALD TRUMP EN UN MITIN ..."")"
75,"=HYPERLINK(""https://www.wdbj7.com/2024/08/14/donald-trump-is-going-north-carolina-an-economic-speech-can-he-stick-clear-message/"",""Donald Trump is going to North Carolina for an economic speech ..."")","=HYPERLINK(""https://www.cnn.com/politics/live-news/trump-legal-developments-03-23-23/index.html"",""Live updates: Donald Trump’s latest legal news | CNN Politics"")","=HYPERLINK(""https://www.nbcnews.com/politics/donald-trump/live-blog/trump-indictment-arrested-charges-2020-election-rcna97647"",""Trump pleads not guilty to 2020 election charges after indictment and ..."")","=HYPERLINK(""https://www.nytimes.com/live/2023/08/01/us/trump-indictment-jan-6"",""Trump Indictment: Jan. 6 Riot Was ‘Fueled by Lies’ From Trump, Special Counsel Says - The New York Times"")"
76,"=HYPERLINK(""https://www.usnews.com/topics/people/donald_trump"",""Donald Trump"")","=HYPERLINK(""https://www.nbcnews.com/politics/donald-trump/trump-indicted-jan-6-grand-jury-2020-election-rcna95199"",""Special counsel charges Trump with conspiracy to defraud the U.S."")","=HYPERLINK(""https://www.bbc.co.uk/news/live/world-us-canada-65852074"",""Donald Trump took US nuclear secrets and stored files in shower ... - BBC"")","=HYPERLINK(""https://www.nbcnews.com/politics/2024-election/live-blog/election-2024-live-updates-rcna162976"",""Harris makes first visit to campaign HQ; Vance holds rallies in Ohio and Virginia"")"
77,"=HYPERLINK(""https://www.federalregister.gov/presidential-documents/executive-orders/donald-trump/2018"",""2018 Donald Trump Executive Orders"")","=HYPERLINK(""https://www.nbcnews.com/politics/donald-trump/live-blog/trump-indictment-live-updates-former-presidents-arraignment-expected-t-rcna77705"",""Trump arraigned, arrested on 34 felony counts in hush money case ..."")","=HYPERLINK(""https://www.donaldjtrump.com/%20"",""Home | Donald J. Trump"")","=HYPERLINK(""https://timesofindia.indiatimes.com/world/us/us-and-world/u-s-presidential-polls-2024-kamala-harris-donald-trump-and-4-other-candidates-in-the-race/articleshow/112530469.cms"",""U.S. Presidential polls 2024: Kamala Harris, Donald trump, and 4 other candidates in the race | World News - Times of India"")"
78,"=HYPERLINK(""https://www.businessinsider.com/category/donald-trump"",""Donald Trump"")","=HYPERLINK(""https://www.nytimes.com/live/2023/06/13/us/trump-indictment-arraignment-court"",""Trump Arraignment Trump Pleads Not Guilty in Documents Case"")","=HYPERLINK(""https://en.wikipedia.org/wiki/Presidency_of_Donald_Trump"",""Presidency of Donald Trump - Wikipedia"")","=HYPERLINK(""https://www.youtube.com/watch?v=IwApy5Lc8k4"",""‘Epic Meltdown’: Donald Trump has disastrous interview in ..."")"
79,"=HYPERLINK(""https://trumpwhitehouse.archives.gov/trump-administration-accomplishments/"",""Trump Administration Accomplishments – The White House"")","=HYPERLINK(""https://www.npr.org/live-updates/trump-grand-jury-indictment-jan-6"",""Donald Trump indicted on four counts in 2020 election probe: live ..."")","=HYPERLINK(""https://www.cnn.com/politics/live-news/trump-civil-fraud-trial-11-06-23/index.html"",""Donald Trump testifies in New York civil fraud trial | CNN Politics"")","=HYPERLINK(""https://www.nytimes.com/2024/07/13/opinion/trump-2024-second-term.html"",""Opinion | A Second Term for Trump Could Go 4 Different Ways - The New York Times"")"
80,"=HYPERLINK(""https://constitution.congress.gov/browse/essay/artII-S4-4-9/ALDE_00000035/"",""ArtII.S4.4.9 President Donald Trump and Impeachable Offenses"")","=HYPERLINK(""https://www.cnn.com/politics/president-donald-trump-45"",""Donald J. Trump | CNN Politics"")","=HYPERLINK(""https://www.usatoday.com/story/news/politics/2024/04/22/donald-trump-hush-money-trial-news-live-updates/73406695007/"",""Trump trial replay: Latest news from hush money case statements - USA TODAY"")","=HYPERLINK(""https://www.citizen-times.com/story/news/local/2024/08/14/trump-asheville-rally-republican-live-coverage/74787771007/"",""Donald Trump rally in Asheville: Live updates from North Carolina campaign stop"")"
81,"=HYPERLINK(""https://www.aljazeera.com/news/2024/8/13/cyberattack-inflation-immigration-top-takeaways-from-trump-musk-chat"",""Cyberattack, inflation, immigration: Six takeaways from Trump-Musk chat"")","=HYPERLINK(""https://www.britannica.com/biography/Donald-Trump"",""Donald Trump | Biography, Education, Business Career, Political Career ..."")","=HYPERLINK(""https://www.nbcnews.com/politics/donald-trump/live-blog/trump-georgia-indictment-rcna98900"",""Trump and 18 allies charged in Fulton County grand jury indictment ..."")","=HYPERLINK(""https://www.msn.com/en-us/news/other/trump-whisked-off-stage-in-pennsylvania-after-loud-noises-rang-through-the-crowd/ar-BB1pW23c"",""Trump whisked off stage in Pennsylvania after loud noises rang throug…"")"
82,"=HYPERLINK(""https://www.vox.com/2016/7/25/12270880/donald-trump-racist-racism-history"",""Donald Trump's long history of racism, from the 1970s to 2020"")","=HYPERLINK(""https://hu.m.wikipedia.org/wiki/Donald_Trump"",""Donald Trump – Wikipédia"")","=HYPERLINK(""https://www.cbsnews.com/live-updates/trump-pleads-not-guilty-34-counts-indictment-arraignment-manhattan-court/"",""Trump indictment: Former president pleads not guilty to 34 counts in ..."")","=HYPERLINK(""https://www.reuters.com/world/us/elon-musk-interview-trump-x-social-media-network-2024-08-12/"",""Rambling Trump, Musk interview marred by tech issues | Reuters"")"
83,"=HYPERLINK(""https://ew.com/person/donald-trump/"",""Donald Trump"")","=HYPERLINK(""https://vi.m.wikipedia.org/wiki/Donald_Trump"",""Donald Trump – Wikipedia tiếng Việt"")","=HYPERLINK(""https://www.bbc.com/news/live/cljy6yz1j6gt"",""Bandaged Trump gets rapturous welcome at Republican convention - BBC"")","=HYPERLINK(""https://www.youtube.com/watch?v=-v-8wJkmwBY"",""- YouTube"")"
84,"=HYPERLINK(""https://www.washingtonexaminer.com/tag/donald-trump/"",""Donald Trump"")","=HYPERLINK(""https://www.cnn.com/politics/live-news/trump-new-york-court-arraignment-04-04-23/index.html"",""April 4, 2023 Trump indictment news | CNN Politics"")","=HYPERLINK(""https://apnews.com/article/trump-trial-deliberations-jury-testimony-verdict-85558c6d08efb434d05b694364470aa0"",""Trump hush money verdict: Guilty of all 34 counts | AP News"")","=HYPERLINK(""https://www.washingtontimes.com/news/2024/jul/29/liberals-love-victims-except-when-victim-is-trump/"",""Liberals love victims, except when victim is Trump - Washington Times"")"
85,"=HYPERLINK(""https://www.npr.org/2024/08/12/g-s1-16698/trump-musk-x-interview"",""Trump-Musk interview on X is light on news amid technical issues"")","=HYPERLINK(""https://www.cnn.com/politics/live-news/donald-trump-court-charges-04-05-23/index.html"",""April 5, 2023 The latest on Trump’s historic indictment"")","=HYPERLINK(""https://www.donaldjtrump.com/join"",""Join | Donald J. Trump"")","=HYPERLINK(""https://www.msn.com/en-us/music/news/cardi-b-worries-about-donald-trump-dictatorship-after-ex-prez-promises-followers-you-won-t-have-to-vote-anymore/ar-BB1qP2Oz"",""Cardi B Worries About Donald Trump ‘Dictatorship' After Ex-Prez Promis…"")"
86,"=HYPERLINK(""https://www.washingtonpost.com/politics/2024/08/13/does-donald-trump-understand-how-ocean-works/"",""Column | Does Donald Trump understand how the ocean works?"")","=HYPERLINK(""https://www.facebook.com/DonaldTrump/"",""Donald J. Trump - Facebook"")","=HYPERLINK(""https://edition.cnn.com/politics/live-news/trump-indictment-classified-documents-06-09-23/index.html"",""June 9, 2023 Latest on federal indictment against Donald Trump"")","=HYPERLINK(""https://wlos.com/news/local/live-updates-of-the-day-of-trumps-visit-to-asheville"",""LIVE UPDATES: Supporters line up downtown for Donald Trump's visit"")"
